No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
1321,総合評価,とび・土工・コンクリート工事,775.0,32530000,現場吹付法枠工 グランドアンカー工,飯田建設事務所,下伊那郡大鹿村,（株）パテック、（株）尾畑組、（株）三六組
1322,総合評価,舗装工事,850.0,16000000,舗装修繕工,飯田建設事務所,下伊那郡豊丘村,金本建設（株）、小木曽建設（株）、神稲建設（株）、南信土木建築（有）、小池建設（株）
1323,総合評価,鋼構造物工事,863.0,370530000,橋梁上部工 工場製作工及び架設工,飯田建設事務所,飯田市,（株）角藤、トライアン（株）、（株）ヤマウラ
1324,総合評価,土木一式工事,759.0,44960000,道路改良工 ブロック積工,飯田建設事務所,下伊那郡阿南町,（有）北原土木、クラウニング（株）、（株）パテック、（株）金田組、（有）福士組、池端工業（株）、（有）上野建設、（株）南建設、（株）近藤工務店
1325,総合評価,舗装工事,850.0,17640000,舗装修繕工,飯田建設事務所,下伊那郡天龍村,金本建設（株）、小木曽建設（株）、南信土木建築（有）、（株）パテック、神稲建設（株）、小池建設（株）
1326,総合評価,とび・土工・コンクリート工事,775.0,33950000,法面対策工 コンクリート吹付工 ポケット式落石防止網工,飯田建設事務所,下伊那郡阿南町,細澤建設（株）、（株）三六組、（株）トライネット、金本建設（株）、（株）サンテクト、南信土木建築（有）、（有）新野工務店、伊賀良建設（株）、木下工業（株）、（株）シノダ、（株）清信建設興業、古田工業（株）
1327,総合評価,土木一式工事,675.0,17460000,道路改築工 排水工 舗装工,飯田建設事務所,下伊那郡天龍村,クラウニング（株）、（有）北原土木、（有）上野建設、（株）金田組、（有）福士組、（株）南建設、（株）近藤工務店、池端工業（株）
1328,総合評価,舗装工事,970.0,36130000,舗装修繕工 区画線工,飯田建設事務所,飯田市,小木曽建設（株）、神稲建設（株）、小池建設（株）
1329,総合評価,とび・土工・コンクリート工事,775.0,44690000,法面対策工 繊維補強モルタル吹付工,飯田建設事務所,飯田市,（株）シノダ、伊賀良建設（株）、木下工業（株）、（株）トライネット、（株）サンテクト、南信土木建築（有）、阿智工務店（株）、（有）新野工務店、（株）清信建設興業、北沢建設（株）、（株）三六組、クラウニング（株）、金本建設（株）、（有）福士組、（株）金田組
1330,総合評価,土木一式工事,1006.0,10550000,路肩修繕工 ブロック積工 舗装復旧工,飯田建設事務所,下伊那郡天龍村,（株）矢島、（有）北原土木
1331,受注希望,塗装工事,775.0,6470000,区画線設置工 水性カラー舗装工,飯田建設事務所,高森町,黒河内建設（株）、矢木コーポレーション（株）、長野機材（株）、山本産業（株）、（有）ヒラサワ
1332,総合評価,土木一式工事,759.0,54930000,河川災害復旧工 ブロック張工 小口止工,飯田建設事務所,下伊那郡大鹿村,クラウニング（株）、（株）吉野組、牧島建設（有）、大協建設（株）、木下建設（株）、神稲建設（株）、飯田建設（株）
1333,総合評価,とび・土工・コンクリート工事,872.0,142460000,法面対策工 現場吹付法枠工 鉄筋挿入工,飯田建設事務所,飯田市,（株）三六組、吉川建設（株）、神稲建設（株）、長豊建設（株）、大協建設（株）、（有）北原土木、小池建設（株）、北沢建設（株）、木下建設（株）、古田工業（株）、阿智工務店（株）、木下工業（株）、南信土木建築（有）、（株）シノダ、（株）パテック、（株）カリス、（株）サンテクト、（株）清信建設興業、（有）新野工務店
1334,総合評価,とび・土工・コンクリート工事,872.0,143540000,法面対策工 現場吹付法枠工 鉄筋挿入工,飯田建設事務所,飯田市,長豊建設（株）、大協建設（株）、（株）三六組、神稲建設（株）、吉川建設（株）、（有）北原土木、小池建設（株）、木下建設（株）、北沢建設（株）、阿智工務店（株）、木下工業（株）、南信土木建築（有）、（株）シノダ、（有）新野工務店、（株）サンテクト、（株）清信建設興業、（株）カリス、（株）パテック、古田工業（株）
1335,総合評価,とび・土工・コンクリート工事,775.0,17850000,法面対策工 繊維補強モルタル吹付工,飯田建設事務所,下伊那郡阿智村,細澤建設（株）、（株）カリス、金本建設（株）、古田工業（株）、伊賀良建設（株）、（株）シノダ、木下工業（株）、（株）清信建設興業、（株）サンテクト、南信土木建築（有）
1336,総合評価,とび・土工・コンクリート工事,872.0,94660000,橋梁補修工 橋面補修工,飯田建設事務所,県内一円,小池建設（株）、木下工業（株）、（有）北原土木、金本建設（株）、クラウニング（株）、南信土木建築（有）、小木曽建設（株）、（株）尾畑組、（株）三六組、（株）カリス、神稲建設（株）、北沢建設（株）、木下建設（株）、長豊建設（株）
1337,総合評価,土木一式工事,675.0,20340000,道路災害復旧工 赤石トンネル北工 型擁壁設置工 舗装復旧工 矢筈工 重力式擁壁工 ガードレール復旧工,飯田建設事務所,下伊那郡喬木村,細澤建設（株）、（有）今村工務所、（株）尾畑組、中川建設（有）、（有）神和創建、三建建設（有）、宮下建設（有）、大平建設（株）、（有）吉川建設工業、野島建設（株）
1338,総合評価,土木一式工事,1007.0,740060000,橋梁下部工 橋脚工,飯田建設事務所,下伊那郡天龍村,吉川建設（株）、（株）岡谷組、北野建設（株）、（株）守谷商会、（株）早野組中部支店
1339,総合評価,とび・土工・コンクリート工事,775.0,26420000,法面対策工 コンクリート吹付工 落石対策工 落石防止網工,飯田建設事務所,下伊那郡天龍村,（株）シノダ、（株）清信建設興業、木下工業（株）、（株）カリス、クラウニング（株）、（有）新野工務店、（株）パテック、（有）上野建設、（株）金田組、（有）福士組、（株）南建設、（株）近藤工務店、池端工業（株）、山崎建設（株）
1340,受注希望,電気工事,819.0,26670000,化工,飯田建設事務所,飯田市,東陽興業（株）、土屋電気工事（株）、（株）共進電気
1341,総合評価,土木一式工事,759.0,36140000,場所打擁壁工 落石防護工 付替道路工,飯田建設事務所,飯田市,クラウニング（株）、（株）原山組、三建建設（有）、（有）福士組、池端工業（株）、（株）南建設、山崎建設（株）、（株）近藤工務店
1342,受注希望,土木一式工事,759.0,非公開,,南信州地域振興局,大鹿村,
1343,総合評価,とび・土工・コンクリート工事,872.0,100410000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,（有）北原土木、木下工業（株）、（株）尾畑組、（株）カリス
1344,総合評価,とび・土工・コンクリート工事,775.0,44690000,法面対策工 落石防止網設置工,飯田建設事務所,下伊那郡松川町,（株）パテック、（株）尾畑組、木下工業（株）、（株）吉野組、大協建設（株）、木下建設（株）、神稲建設（株）、北沢建設（株）、牧島建設（有）
1345,総合評価,とび・土工・コンクリート工事,775.0,27460000,法面対策工 コンクリート吹付工 落石防止網工,飯田建設事務所,飯田市,（有）北原土木、（有）新野工務店、（株）三六組、木下工業（株）、（株）シノダ、（株）パテック、（株）清信建設興業
1346,総合評価,とび・土工・コンクリート工事,872.0,86540000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,（有）北原土木、木下工業（株）、（株）トライネット、（株）カリス、クラウニング（株）、木下建設（株）、北沢建設（株）、小木曽建設（株）、長豊建設（株）、（株）三六組、神稲建設（株）、吉川建設（株）、大協建設（株）、（株）アスピア
1347,総合評価,とび・土工・コンクリート工事,872.0,75760000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,小池建設（株）、神稲建設（株）、長豊建設（株）、木下建設（株）、北沢建設（株）、（株）三六組、クラウニング（株）、木下工業（株）、南信土木建築（有）、（株）尾畑組
1348,総合評価,土木一式工事,675.0,16030000,山腹排水路工,飯田建設事務所,下伊那郡大鹿村,（有）神和創建、三建建設（有）
1349,総合評価,とび・土工・コンクリート工事,872.0,181610000,山腹工,南信州地域振興局,天龍村,阿智工務店（株）、（株）金田組、木下建設（株）、長豊建設（株）、（株）三六組、吉川建設（株）、北沢建設（株）、神稲建設（株）、（株）カリス、（株）パテック、（株）シノダ、（株）清信建設興業、クラウニング（株）、（有）新野工務店、南信土木建築（有）、（株）サンテクト、木下工業（株）
1350,総合評価,とび・土工・コンクリート工事,775.0,32630000,法面対策工 コンクリート吹付工 落石防止網工,飯田建設事務所,下伊那郡喬木村,（株）ウチヤマ、南信土木建築（有）、阿智工務店（株）、伊賀良建設（株）、（株）シノダ、（株）清信建設興業、（有）吉川建設工業、野島建設（株）、中川建設（有）、大平建設（株）、木下工業（株）、（有）新野工務店、（株）尾畑組、（株）三六組、（株）パテック、細澤建設（株）
1351,総合評価,とび・土工・コンクリート工事,872.0,88120000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,（有）北原土木、木下工業（株）、南信土木建築（有）、クラウニング（株）
1352,総合評価,塗装工事,775.0,17450000,横断歩道橋修繕工 横断歩道橋塗装工,飯田建設事務所,下伊那郡高森町,矢木コーポレーション（株）、信州建装（株）
1353,総合評価,とび・土工・コンクリート工事,872.0,84500000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,（株）下平組、木下工業（株）、（株）尾畑組
1354,総合評価,とび・土工・コンクリート工事,872.0,45820000,法面対策工 簡易吹付法枠工,飯田建設事務所,伊那市から飯田市,（株）吉野組、木下工業（株）、（株）三六組
1355,総合評価,とび・土工・コンクリート工事,775.0,45260000,橋梁補修工 伸縮装置取替工,飯田建設事務所,県内一円,（株）下平組、古田工業（株）
1356,総合評価,とび・土工・コンクリート工事,872.0,145070000,橋梁補修工 橋面補修工 コンクリート桁補修工 橋台補修工,飯田建設事務所,県内一円,（株）カリス、クラウニング（株）、北沢建設（株）、（有）北原土木
1357,総合評価,とび・土工・コンクリート工事,872.0,58730000,落石対策工 高エネルギー吸収落石防護柵工,飯田建設事務所,下伊那郡平谷村から飯田市,（有）新野工務店、（株）金田組、（有）福士組、池端工業（株）、山崎建設（株）、（株）パテック、木下工業（株）、（株）下平組
1358,総合評価,とび・土工・コンクリート工事,872.0,102350000,橋梁補修工 橋面補修工 橋台補修工 照明基礎補修工 コンクリート桁補修工,飯田建設事務所,県内一円,（株）カリス、小池建設（株）、木下工業（株）、南信土木建築（有）、神稲建設（株）
1359,総合評価,塗装工事,863.0,28110000,橋梁補修工 桁塗装塗替工,飯田建設事務所,県内一円,矢木コーポレーション（株）、安保塗装（株）、進興エンジニアリング（株）
1360,総合評価,とび・土工・コンクリート工事,872.0,112500000,法面対策工 法枠補修工 高強度ネット工 補強土鉄筋工,飯田建設事務所,飯田市,北沢建設（株）、木下工業（株）、（株）パテック、（株）カリス、長豊建設（株）、クラウニング（株）、神稲建設（株）、（株）下平組
1361,総合評価,とび・土工・コンクリート工事,872.0,94700000,崩壊土砂防止柵工,飯田建設事務所,下伊那郡喬木村,大平建設（株）、北沢建設（株）、（株）パテック、（株）尾畑組
1362,総合評価,とび・土工・コンクリート工事,872.0,88050000,地すべり防止工 吹付法枠工 鉄筋挿入工,飯田建設事務所,下伊那郡大鹿村,木下工業（株）、（株）吉野組、大協建設（株）、吉川建設（株）、木下建設（株）、北沢建設（株）、牧島建設（有）
1363,総合評価,土木一式工事,1007.0,82520000,道路築造工 モルタル吹付工 鉄筋挿入工,飯田建設事務所,下伊那郡大鹿村,（株）トライネット、北沢建設（株）、長豊建設（株）、神稲建設（株）、（株）三六組、木下建設（株）、大協建設（株）
1364,総合評価,鋼構造物工事,863.0,非公開,橋梁補修工 鋼桁補修工 鋼製支承補修工,飯田建設事務所,県内一円,
1365,総合評価,とび・土工・コンクリート工事,872.0,非公開,橋梁補修工 伸縮装置補修工 舗装工 排水装置補修工,飯田建設事務所,県内一円,
1366,受注希望,土木一式工事,759.0,非公開,,南信州地域振興局,大鹿村,
1367,総合評価,鋼構造物工事,863.0,90480000,橋梁上部工 工場製作工及び架設工,飯田建設事務所,下伊那郡豊丘村,トライアン（株）、（株）ヤマウラ
1368,総合評価,土木一式工事,759.0,31740000,堆積土除去工,飯田建設事務所,下伊那郡喬木村,（株）原山組、（株）三六組、（有）神和創建、（有）イチバ土木、木下工業（株）、飯田建設（株）、中川建設（有）、大平建設（株）、（有）吉川建設工業、野島建設（株）、（有）今村工務所
1369,受注希望,とび・土工・コンクリート工事,775.0,7160000,山腹工 実播工 伏工,南信州地域振興局,喬木村,（株）原山組、木下工業（株）、宮嘉建設（有）、（株）トライネット、細澤建設（株）、太田土建（有）、（有）奥宮工業、道栄建設（株）、金本建設（株）、（有）新井工務店、（有）竹村工務所、（有）シビル・ササキ、（有）畑中工務所、クラウニング（株）
1370,総合評価,とび・土工・コンクリート工事,775.0,18510000,法面対策工 コンクリート吹付工,飯田建設事務所,下伊那郡阿南町,細澤建設（株）、（株）サンテクト、南信土木建築（有）、（株）原山組、阿智工務店（株）、（株）シノダ、（株）清信建設興業、木下工業（株）、（有）新野工務店、伊賀良建設（株）、南部建設（有）、（株）パテック、（有）福士組、（有）畑中工務所、古田工業（株）
1371,総合評価,土木一式工事,1007.0,120980000,道路築造工 道路盛土工 下層路盤工,飯田建設事務所,下伊那郡豊丘村から高森町,小木曽建設（株）、木下工業（株）、（株）パテック、長豊建設（株）、大協建設（株）、吉川建設（株）、北沢建設（株）、木下建設（株）、神稲建設（株）、（株）尾畑組、小池建設（株）、南信土木建築（有）、（有）小池興業、山崎建設（株）
1372,受注希望,とび・土工・コンクリート工事,775.0,22640000,橋梁補修工 伸縮装置補修工 落橋防止装置工,飯田建設事務所,飯田市,飯田建設（株）、（株）トライネット、（有）宮澤組、（株）三六組、金本建設（株）、細澤建設（株）、（有）小池興業、道栄建設（株）、（有）雄長組、宮嘉建設（有）、（有）竹村工務所、（有）シビル・ササキ、（株）下平組
1373,総合評価,とび・土工・コンクリート工事,775.0,44970000,地すべり防止工 植生基材吹付工 鉄筋挿入工 横ボーリング工,飯田建設事務所,飯田市,北沢建設（株）、古田工業（株）、（株）トライネット、池端工業（株）、（株）金田組、（株）南建設、（有）福士組、（株）近藤工務店
1374,受注希望,森林整備,590.0,6140000,,南信州地域振興局,売木村,飯伊森林組合、（株）エレファントチーム、飯田建設（株）、（有）北原土木
1375,受注希望,森林整備,750.0,10130000,,南信州地域振興局,根羽村,（有）北原土木、飯伊森林組合、（株）エレファントチーム、飯田建設（株）
1376,総合評価,土木一式工事,759.0,46750000,河川災害復旧工 ブロック張工,飯田建設事務所,飯田市,（株）南建設
1377,総合評価,土木一式工事,759.0,51960000,河川災害復旧工 ブロック張工,飯田建設事務所,飯田市,（株）原山組、（株）エヌグルーヴ、クラウニング（株）
1378,総合評価,土木一式工事,759.0,非公開,河川災害復旧工 大型ブロック積工 根継工,飯田建設事務所,飯田市,
1379,総合評価,舗装工事,850.0,10510000,舗装修繕工,飯田建設事務所,下伊那郡売木村から下伊那郡根羽村,（株）原山組、金本建設（株）、小木曽建設（株）、（株）パテック、南信土木建築（有）、神稲建設（株）、（株）シノダ、（株）清信建設興業
1380,総合評価,舗装工事,850.0,8980000,舗装修繕工,飯田建設事務所,飯田市,（株）原山組、金本建設（株）、（有）畑中工務所、（株）パテック、小木曽建設（株）、小池建設（株）、神稲建設（株）
1381,総合評価,とび・土工・コンクリート工事,775.0,18260000,法面対策工 コンクリート吹付工,飯田建設事務所,下伊那郡阿智村から阿南町,（有）畑中工務所、（株）パテック、金本建設（株）、細澤建設（株）、南信土木建築（有）、阿智工務店（株）、北沢建設（株）、（有）新野工務店、（株）シノダ、（株）サンテクト、木下工業（株）、（株）清信建設興業
1382,受注希望,土木一式工事,,2780000,山腹工 土留工 緑化工,南信州地域振興局,喬木村,（株）創力、（有）今村工務所、（株）ウチヤマ、（有）イチバ土木
1383,受注希望,土木一式工事,675.0,18160000,排水路工,南信州地域振興局,下伊那郡阿南町,（有）新井工務店、（有）イチバ土木、（有）今村工務所、（株）創力、（株）原山組、（有）北原土木、宮嘉建設（有）、（株）イケガミ
1384,受注希望,とび・土工・コンクリート工事,775.0,26380000,横孔ボーリング工 法面工 土止工,南信州地域振興局,下伊那郡阿南町,（株）原山組、（株）パテック、道栄建設（株）、金本建設（株）、（有）北原土木、木下工業（株）、古田工業（株）、宮嘉建設（有）、クラウニング（株）、（有）今村工務所
1385,受注希望,土木一式工事,759.0,42000000,,南信州地域振興局,喬木村,（有）イチバ土木、三建建設（有）、（有）清水建材工業、（株）シノダ
1386,総合評価,土木一式工事,1007.0,125390000,橋梁下部工 場所打杭工,飯田建設事務所,飯田市,（株）三六組、大協建設（株）、北沢建設（株）、長豊建設（株）、神稲建設（株）、吉川建設（株）、木下建設（株）、（株）トライネット
1387,総合評価,とび・土工・コンクリート工事,775.0,9090000,土工 法面工,飯田建設事務所,飯田市,（株）ウチヤマ、（株）カリス、（有）畑中工務所、古田工業（株）、太田土建（有）、宮嘉建設（有）、木下工業（株）
1388,総合評価,とび・土工・コンクリート工事,775.0,27070000,コンクリート構造物補修工,飯田建設事務所,下伊那郡阿南町,（株）パテック、北沢建設（株）、古田工業（株）、木下工業（株）、南信土木建築（有）、金本建設（株）
1389,総合評価,土木一式工事,1007.0,81840000,護岸工 コンクリートブロック積工,飯田建設事務所,飯田市,北沢建設（株）、（株）カリス、（株）パテック、大平建設（株）、クラウニング（株）
1390,受注希望,土木一式工事,,2790000,木製枠工 流路工 床固工,南信州地域振興局,飯田市,（株）ウチヤマ、宮嘉建設（有）、（有）カスミ、太田土建（有）
1391,総合評価,土木一式工事,759.0,72060000,橋梁補修工 塗装塗替工 伸縮装置補修工,飯田建設事務所,県内一円,木下工業（株）、（有）北原土木、南信土木建築（有）、クラウニング（株）、（株）トライネット、北沢建設（株）
1392,総合評価,とび・土工・コンクリート工事,775.0,27260000,地すべり防止工 横ボーリング工 排水路工,飯田建設事務所,下伊那郡天龍村,古田工業（株）、木下工業（株）、（有）福士組、（株）パテック、金本建設（株）
1393,総合評価,土木一式工事,759.0,52580000,橋梁下部工,飯田建設事務所,下伊那郡大鹿村,神稲建設（株）、大協建設（株）、木下建設（株）、吉川建設（株）、長豊建設（株）、北沢建設（株）
1394,受注希望,土木一式工事,759.0,31020000,谷止工,南信州地域振興局,阿智村,（有）北原土木、（株）尾畑組、宮嘉建設（有）、藤井興業（株）、三建建設（有）、（有）竹村工務所、クラウニング（株）、伊賀良建設（株）、道栄建設（株）、共歩（株）
1395,受注希望,森林整備,,2310000,,南信州地域振興局,飯田市,（有）北原土木、飯伊森林組合、（株）エレファントチーム
1396,総合評価,舗装工事,850.0,8690000,舗装修繕工,飯田建設事務所,下伊那郡高森町から下伊那郡松川町,小木曽建設（株）、金本建設（株）、高本建設（株）、神稲建設（株）
1397,総合評価,舗装工事,850.0,6150000,舗装修繕工,飯田建設事務所,下伊那郡松川町,高本建設（株）、小木曽建設（株）、金本建設（株）、神稲建設（株）
1398,受注希望,土木一式工事,1006.0,12500000,,南信州地域振興局,喬木村,共歩（株）、三建建設（有）、（有）北原土木、（株）創力、（有）イチバ土木、伊賀良建設（株）
1399,総合評価,塗装工事,863.0,109100000,橋梁補修工 塗装塗替工,飯田建設事務所,県内一円,進興エンジニアリング（株）、信州建装（株）、安保塗装（株）、矢木コーポレーション（株）、北沢建設（株）
1400,総合評価,塗装工事,863.0,139030000,橋梁補修工 塗装塗替工,飯田建設事務所,県内一円,矢木コーポレーション（株）、北沢建設（株）、安保塗装（株）、信州建装（株）
1401,総合評価,とび・土工・コンクリート工事,872.0,112560000,,飯田建設事務所,下伊那郡阿智村,古田工業（株）、金本建設（株）、三建建設（有）、（株）サンテクト、阿智工務店（株）、（有）新野工務店、南信土木建築（有）、小池建設（株）、（株）シノダ、木下工業（株）、（株）清信建設興業
1402,受注希望,とび・土工・コンクリート工事,775.0,22890000,横孔ボーリング工 洗浄ボーリング工 承排水路工,南信州地域振興局,下伊那郡大鹿村,（有）北原土木、（株）吉野組
1403,受注希望,とび・土工・コンクリート工事,775.0,24200000,横孔ボーリング工 排水路工 土止工,南信州地域振興局,飯田市,クラウニング（株）、（有）北原土木、宮嘉建設（有）
1404,総合評価,とび・土工・コンクリート工事,775.0,12030000,落石対策工 ポケット式ロックネット工,飯田建設事務所,下伊那郡平谷村から飯田市,（有）福士組、南部建設（有）、（株）パテック、金本建設（株）、阿智工務店（株）、伊賀良建設（株）、（有）新野工務店、木下工業（株）、（株）シノダ、（株）清信建設興業
1405,受注希望,土木一式工事,759.0,27640000,水路工,南信州地域振興局,下伊那郡阿南町,（有）イチバ土木、（株）イケガミ、宮嘉建設（有）
1406,受注希望,土木一式工事,675.0,13850000,承排水路工,南信州地域振興局,下伊那郡大鹿村,（有）イチバ土木
1407,総合評価,とび・土工・コンクリート工事,775.0,11140000,落石対策工 落石防護網設置工,飯田建設事務所,飯田市,（有）福士組、（株）パテック、金本建設（株）
1408,受注希望,土木一式工事,759.0,37180000,谷止工,南信州地域振興局,阿智村,伊賀良建設（株）、細澤建設（株）、太田土建（有）、共歩（株）、三建建設（有）、宮嘉建設（有）、（有）竹村工務所、クラウニング（株）、（有）イチバ土木、道栄建設（株）
1409,受注希望,土木一式工事,675.0,14720000,渓間工 護岸工,南信州地域振興局,高森町,（株）創力、（有）イチバ土木、（有）北原土木、（有）カスミ、細澤建設（株）、クラウニング（株）、道栄建設（株）
1410,総合評価,土木一式工事,759.0,69780000,橋梁補修工 塗装塗替工 床版補修工,飯田建設事務所,県内一円,南信土木建築（有）、クラウニング（株）、北沢建設（株）、神稲建設（株）、吉川建設（株）、大協建設（株）、木下建設（株）、（有）北原土木、（株）カリス、（株）三六組、古田工業（株）、（株）トライネット、金本建設（株）
1411,総合評価,塗装工事,863.0,72700000,橋梁補修工 塗装塗替工,飯田建設事務所,県内一円,進興エンジニアリング（株）、安保塗装（株）、信州建装（株）、矢木コーポレーション（株）
1412,受注希望,とび・土工・コンクリート工事,775.0,31510000,山腹工 地山補強土工,南信州地域振興局,飯田市,（株）尾畑組、細澤建設（株）、（株）三六組、三建建設（有）、（株）パテック、道栄建設（株）、吉川建設（株）、木下工業（株）、クラウニング（株）
1413,受注希望,とび・土工・コンクリート工事,775.0,22330000,モルタル吹付工 モルタル充填工,南信州地域振興局,飯田市,クラウニング（株）、細澤建設（株）、吉川建設（株）、（有）北原土木、道栄建設（株）
1414,受注希望,土木一式工事,841.0,非公開,道路災害復旧工 プレキャスト張出床版工 コンクリート吹付工 舗装工 防護柵工,飯田建設事務所,下伊那郡阿智村,
1415,総合評価,土木一式工事,1006.0,12210000,側溝工 舗装工 表層工 上層路盤工 下層路盤工,飯田建設事務所,下伊那郡阿智村,古田工業（株）、共歩（株）、阿智工務店（株）
1416,総合評価,舗装工事,850.0,9050000,舗装修繕工 区画線工,飯田建設事務所,飯田市,神稲建設（株）、南信土木建築（有）、（株）パテック、小木曽建設（株）、高本建設（株）
1417,総合評価,土木一式工事,1007.0,231580000,,飯田建設事務所,飯田市,（株）ヤマウラ、大協建設（株）、木下建設（株）、神稲建設（株）、吉川建設（株）、（株）トライネット、北沢建設（株）、勝間田建設（株）、金本建設（株）、クラウニング（株）、長豊建設（株）
1418,総合評価,舗装工事,850.0,18160000,舗装修繕工 区画線工,飯田建設事務所,飯田市,神稲建設（株）、小木曽建設（株）、高本建設（株）、南信土木建築（有）
1419,総合評価,土木一式工事,1007.0,122190000,道路築造工 プレキャストボックスカルバート工,飯田建設事務所,下伊那郡豊丘村から高森町,神稲建設（株）、（株）尾畑組、木下建設（株）、大協建設（株）、長豊建設（株）、北沢建設（株）、吉川建設（株）、小木曽建設（株）、金本建設（株）
1420,受注希望,土木一式工事,759.0,43820000,道路工 下層工 表層工 側溝工,南信州地域振興局,下伊那郡阿智村,（有）北原土木、古田工業（株）、宮嘉建設（有）、（株）イケガミ、太田土建（有）、伊賀良建設（株）、共歩（株）、（株）原山組、（有）畑中工務所、南信土木建築（有）、（有）コスモ建設
1421,受注希望,土木一式工事,675.0,15900000,承水路工 土止工,南信州地域振興局,飯田市,（有）北原土木、宮嘉建設（有）
1422,受注希望,塗装工事,775.0,22820000,視覚障がい者誘導用シート工,飯田建設事務所,飯田市,矢木コーポレーション（株）
1423,総合評価,土木一式工事,759.0,41390000,護岸工 コンクリートブロック積工,飯田建設事務所,下伊那郡豊丘村,細澤建設（株）、小木曽建設（株）
1424,総合評価,土木一式工事,675.0,14800000,護岸工 コンクリートブロック積工,飯田建設事務所,下伊那郡松川町,伊那建設（有）
1425,総合評価,とび・土工・コンクリート工事,872.0,115650000,橋梁補修工 床版補修工 伸縮装置補修工 地覆補修工 下部工補修工,飯田建設事務所,県内一円,南信土木建築（有）、古田工業（株）、（株）トライネット、（株）カリス、（株）三六組、金本建設（株）、クラウニング（株）
1426,受注希望,とび・土工・コンクリート工事,775.0,9670000,集水井工 洗浄ボーリング工 承水路工,南信州地域振興局,飯田市,（有）北原土木、木下工業（株）、古田工業（株）、宮嘉建設（有）
1427,受注希望,土木一式工事,675.0,非公開,排水路工 洗浄ボーリング工 土止工,南信州地域振興局,下伊那郡泰阜村,
1428,総合評価,とび・土工・コンクリート工事,775.0,28670000,落石対策工 落石防止網設置工,飯田建設事務所,下伊那郡天龍村から阿南町,（株）パテック、木下工業（株）、（有）上野建設、（株）金田組、（有）福士組、金本建設（株）
1429,総合評価,とび・土工・コンクリート工事,872.0,56110000,貯水池内掘削工 堆積土掘削工 堆積土運搬工,飯田建設事務所,飯田市,（株）三六組、（株）トライネット、木下工業（株）、金本建設（株）
1430,総合評価,とび・土工・コンクリート工事,872.0,184250000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,大平建設（株）、大協建設（株）、神稲建設（株）、吉川建設（株）、北沢建設（株）、（株）三六組、長豊建設（株）、木下建設（株）、古田工業（株）、（株）トライネット、木下工業（株）、金本建設（株）
1431,総合評価,とび・土工・コンクリート工事,775.0,17260000,堆積土除去工 支障木伐採工,飯田建設事務所,下伊那郡阿智村,（株）原山組、古田工業（株）、共歩（株）、（有）福士組、南信土木建築（有）、金本建設（株）、伊賀良建設（株）、木下工業（株）、（株）清信建設興業、（株）シノダ
1432,総合評価,とび・土工・コンクリート工事,775.0,28170000,貯水池内掘削工 堆積土掘削工 堆積土運搬工,飯田建設事務所,下伊那郡松川町,金本建設（株）、（株）三六組、飯田建設（株）
1433,総合評価,とび・土工・コンクリート工事,872.0,203810000,,飯田建設事務所,飯田市,古田工業（株）、（株）トライネット、木下工業（株）、金本建設（株）、神稲建設（株）、木下建設（株）、吉川建設（株）、北沢建設（株）、大協建設（株）、長豊建設（株）、（株）三六組、大平建設（株）
1434,受注希望,土木一式工事,,1850000,山腹工 伏工 水路工,南信州地域振興局,高森町,（株）ウチヤマ
1435,受注希望,土木一式工事,759.0,41440000,山腹工 法枠工 土留工,南信州地域振興局,泰阜村,金本建設（株）、（株）シノダ、クラウニング（株）、（株）尾畑組、宮下建設（有）、（有）福士組、（株）清信建設興業、（株）パテック、細澤建設（株）、（有）竹村工務所、木下工業（株）、吉川建設（株）、（有）新井工務店、（株）カリス、宮嘉建設（有）
1436,総合評価,とび・土工・コンクリート工事,872.0,54520000,落石対策工 落石防止網設置工 モルタル吹付工,飯田建設事務所,下伊那郡天龍村から阿南町,（有）福士組、（株）パテック、金本建設（株）
1437,受注希望,土木一式工事,675.0,22330000,道路工 上層工 表層工 側溝工,南信州地域振興局,下伊那郡阿智村,（株）創力、南信土木建築（有）、共歩（株）、（有）コスモ建設、細澤建設（株）、（株）イケガミ、太田土建（有）、宮嘉建設（有）、木下工業（株）、（株）カリス、古田工業（株）
1438,受注希望,造園工事,775.0,23890000,植栽維持工,飯田建設事務所,飯田市,（株）伍福園、文吾林造園（株）
1439,総合評価,土木一式工事,759.0,72710000,道路築造工 軽量盛土工,飯田建設事務所,飯田市,（株）カリス、（株）トライネット、（株）尾畑組、吉川建設（株）、金本建設（株）
1440,総合評価,土木一式工事,759.0,45410000,道路築造工 型擁壁工,飯田建設事務所,飯田市,（株）トライネット、（株）カリス、伊賀良建設（株）、金本建設（株）
1441,総合評価,土木一式工事,759.0,44990000,道路築造工 自由勾配側溝工 植生マット工,飯田建設事務所,下伊那郡阿南町,金本建設（株）、（株）トライネット、（株）原山組、木下工業（株）
